"auth","sim_num","pw","pm"
"Admilza/Leonilza",9,21,14
"Admilza/Leonilza",10,20,15
"Admilza/Leonilza",11,20,15
"Admilza/Leonilza",12,16,19
"Admilza/Leonilza",13,19,16
"Admilza/Leonilza",14,22,13
"Admilza/Leonilza",15,19,16
"Admilza/Leonilza",16,16,19
"Admilza/Leonilza",17,19,16
"Admilza/Leonilza",18,20,15
"Admilza/Leonilza",19,18,17
"Admilza/Leonilza",20,21,14
"Admilza/Leonilza",21,17,18
"Admilza/Leonilza",22,18,17
"Admilza/Leonilza",23,15,20
"Admilza/Leonilza",24,17,18
"Admilza/Leonilza",25,17,18
"Admilza/Leonilza",26,18,17
"Admilza/Leonilza",27,18,17
"Admilza/Leonilza",28,17,18
"Admilza/Leonilza",29,18,17
"Admilza/Leonilza",30,15,20
"Admilza/Leonilza",31,18,17
"Admilza/Leonilza",32,17,18
"Admilza/Leonilza",33,16,19
"Admilza/Leonilza",34,14,21
"Admilza/Leonilza",35,17,18
"Admilza/Leonilza",36,14,21
"Admilza/Leonilza",37,13,22
"Admilza/Leonilza",38,17,18
"Admilza/Leonilza",39,19,16
"Admilza/Leonilza",40,15,20
"Admilza/Leonilza",41,17,18
"Admilza/Leonilza",42,15,20
"Admilza/Leonilza",43,17,18
"Admilza/Leonilza",44,20,15
"Admilza/Leonilza",45,14,21
"Admilza/Leonilza",46,21,14
"Admilza/Leonilza",47,15,20
"Admilza/Leonilza",48,16,19
"Admilza/Leonilza",49,15,20
"Admilza/Leonilza",50,18,17
"Admilza/Leonilza",51,16,19
"Admilza/Leonilza",52,17,18
"Admilza/Leonilza",53,17,18
"Admilza/Leonilza",54,20,15
"Admilza/Leonilza",55,19,16
"Admilza/Leonilza",56,16,19
"Admilza/Leonilza",57,17,18
"Admilza/Leonilza",58,18,17
"Admilza/Leonilza",59,21,14
"Admilza/Leonilza",60,17,18
"Admilza/Leonilza",61,18,17
"Admilza/Leonilza",62,16,19
"Admilza/Leonilza",63,18,17
"Admilza/Leonilza",64,16,19
"Admilza/Leonilza",65,18,17
"Admilza/Leonilza",66,20,15
"Admilza/Leonilza",67,15,20
"Admilza/Leonilza",68,19,16
"Admilza/Leonilza",69,19,16
"Admilza/Leonilza",70,16,19
"Admilza/Leonilza",71,14,21
"Admilza/Leonilza",72,19,16
"Admilza/Leonilza",73,19,16
"Admilza/Leonilza",74,15,20
"Admilza/Leonilza",75,18,17
"Admilza/Leonilza",76,19,16
"Admilza/Leonilza",77,13,22
"Admilza/Leonilza",78,17,18
"Admilza/Leonilza",79,18,17
"Admilza/Leonilza",80,17,18
"Admilza/Leonilza",81,19,16
"Admilza/Leonilza",82,17,18
"Admilza/Leonilza",83,15,20
"Admilza/Leonilza",84,20,15
"Admilza/Leonilza",85,17,18
"Admilza/Leonilza",86,17,18
"Admilza/Leonilza",87,20,15
"Admilza/Leonilza",88,18,17
"Admilza/Leonilza",89,14,21
"Admilza/Leonilza",90,15,20
"Admilza/Leonilza",91,18,17
"Admilza/Leonilza",92,18,17
"Admilza/Leonilza",93,16,19
"Admilza/Leonilza",94,17,18
"Admilza/Leonilza",95,19,16
"Admilza/Leonilza",96,17,18
"Admilza/Leonilza",97,17,18
"Admilza/Leonilza",98,17,18
"Admilza/Leonilza",99,17,18
"Admilza/Leonilza",100,17,18
"Agilton",1,15,20
"Agilton",2,20,15
"Agilton",3,18,17
"Agilton",4,20,15
"Agilton",5,18,17
"Agilton",6,18,17
"Agilton",7,16,19
"Agilton",8,18,17
"Agilton",9,16,19
"Agilton",10,16,19
"Agilton",11,21,14
"Agilton",12,18,17
"Agilton",13,19,16
"Agilton",14,18,17
"Agilton",15,17,18
"Agilton",16,16,19
"Agilton",17,21,14
"Agilton",18,17,18
"Agilton",19,15,20
"Agilton",20,16,19
"Agilton",21,17,18
"Agilton",22,17,18
"Agilton",23,17,18
"Agilton",24,17,18
"Agilton",25,18,17
"Agilton",26,19,16
"Agilton",27,15,20
"Agilton",28,16,19
"Agilton",29,17,18
"Agilton",30,15,20
"Agilton",31,16,19
"Agilton",32,18,17
"Agilton",33,19,16
"Agilton",34,18,17
"Agilton",35,16,19
"Agilton",36,18,17
"Agilton",37,18,17
"Agilton",38,16,19
"Agilton",39,17,18
"Agilton",40,16,19
"Agilton",41,19,16
"Agilton",42,19,16
"Agilton",43,16,19
"Agilton",44,17,18
"Agilton",45,18,17
"Agilton",46,15,20
"Agilton",47,16,19
"Agilton",48,19,16
"Agilton",49,18,17
"Agilton",50,19,16
"Agilton",51,18,17
"Agilton",52,19,16
"Agilton",53,17,18
"Agilton",54,16,19
"Agilton",55,17,18
"Agilton",56,20,15
"Agilton",57,19,16
"Agilton",58,19,16
"Agilton",59,15,20
"Agilton",60,19,16
"Agilton",61,19,16
"Agilton",62,20,15
"Agilton",63,17,18
"Agilton",64,17,18
"Agilton",65,18,17
"Agilton",66,18,17
"Agilton",67,18,17
"Agilton",68,19,16
"Agilton",69,18,17
"Agilton",70,18,17
"Agilton",71,20,15
"Agilton",72,18,17
"Agilton",73,17,18
"Agilton",74,19,16
"Agilton",75,19,16
"Agilton",76,18,17
"Agilton",77,18,17
"Agilton",78,20,15
"Agilton",79,15,20
"Agilton",80,17,18
"Agilton",81,17,18
"Agilton",82,17,18
"Agilton",83,20,15
"Agilton",84,18,17
"Agilton",85,16,19
"Agilton",86,20,15
"Agilton",87,16,19
"Agilton",88,17,18
"Agilton",89,17,18
"Agilton",90,16,19
"Agilton",91,17,18
"Agilton",92,18,17
"Agilton",93,18,17
"Agilton",94,19,16
"Agilton",95,16,19
"Agilton",96,16,19
"Agilton",97,18,17
"Agilton",98,17,18
"Agilton",99,18,17
"Agilton",100,15,20
"Amanda/Kelivânia",1,20,15
"Amanda/Kelivânia",2,17,18
"Amanda/Kelivânia",3,18,17
"Amanda/Kelivânia",4,17,18
"Amanda/Kelivânia",5,18,17
"Amanda/Kelivânia",6,20,15
"Amanda/Kelivânia",7,20,15
"Amanda/Kelivânia",8,15,20
"Amanda/Kelivânia",9,17,18
"Amanda/Kelivânia",10,16,19
"Amanda/Kelivânia",11,17,18
"Amanda/Kelivânia",12,19,16
"Amanda/Kelivânia",13,17,18
"Amanda/Kelivânia",14,20,15
"Amanda/Kelivânia",15,17,18
"Amanda/Kelivânia",16,16,19
"Amanda/Kelivânia",17,17,18
"Amanda/Kelivânia",18,18,17
"Amanda/Kelivânia",19,22,19
"Amanda/Kelivânia",20,21,13
"Amanda/Kelivânia",21,21,14
"Amanda/Kelivânia",22,19,16
"Amanda/Kelivânia",23,18,17
"Amanda/Kelivânia",24,20,15
"Amanda/Kelivânia",25,18,17
"Amanda/Kelivânia",26,18,17
"Amanda/Kelivânia",27,16,19
"Amanda/Kelivânia",28,14,21
"Amanda/Kelivânia",29,18,17
"Amanda/Kelivânia",30,18,17
"Amanda/Kelivânia",31,13,22
"Amanda/Kelivânia",32,17,18
"Amanda/Kelivânia",33,19,16
"Amanda/Kelivânia",34,18,17
"Amanda/Kelivânia",35,19,16
"Amanda/Kelivânia",36,15,20
"Amanda/Kelivânia",37,15,20
"Amanda/Kelivânia",38,18,17
"Amanda/Kelivânia",39,15,20
"Amanda/Kelivânia",40,18,17
"Amanda/Kelivânia",41,18,17
"Amanda/Kelivânia",42,16,19
"Amanda/Kelivânia",43,17,18
"Amanda/Kelivânia",44,18,17
"Amanda/Kelivânia",45,17,18
"Amanda/Kelivânia",46,19,16
"Amanda/Kelivânia",47,18,17
"Amanda/Kelivânia",48,18,17
"Amanda/Kelivânia",49,18,17
"Amanda/Kelivânia",50,16,19
"Amanda/Kelivânia",51,16,19
"Amanda/Kelivânia",52,21,14
"Amanda/Kelivânia",53,18,17
"Amanda/Kelivânia",54,17,18
"Amanda/Kelivânia",55,18,17
"Amanda/Kelivânia",56,16,19
"Amanda/Kelivânia",57,17,18
"Amanda/Kelivânia",58,16,19
"Amanda/Kelivânia",59,17,18
"Amanda/Kelivânia",60,16,19
"Amanda/Kelivânia",61,16,19
"Amanda/Kelivânia",62,15,20
"Amanda/Kelivânia",63,17,18
"Amanda/Kelivânia",64,18,17
"Amanda/Kelivânia",65,19,16
"Amanda/Kelivânia",66,17,18
"Amanda/Kelivânia",67,15,20
"Amanda/Kelivânia",68,17,18
"Amanda/Kelivânia",69,21,14
"Amanda/Kelivânia",70,20,15
"Amanda/Kelivânia",71,21,14
"Amanda/Kelivânia",72,18,17
"Amanda/Kelivânia",73,16,19
"Amanda/Kelivânia",74,17,18
"Amanda/Kelivânia",75,20,15
"Amanda/Kelivânia",76,19,16
"Amanda/Kelivânia",77,17,18
"Amanda/Kelivânia",78,15,20
"Amanda/Kelivânia",79,15,20
"Amanda/Kelivânia",80,20,15
"Amanda/Kelivânia",81,14,21
"Amanda/Kelivânia",82,19,16
"Amanda/Kelivânia",83,14,21
"Amanda/Kelivânia",84,16,19
"Amanda/Kelivânia",85,18,17
"Amanda/Kelivânia",86,18,17
"Amanda/Kelivânia",87,17,18
"Amanda/Kelivânia",88,15,20
"Amanda/Kelivânia",89,18,17
"Amanda/Kelivânia",90,17,18
"Amanda/Kelivânia",91,14,21
"Amanda/Kelivânia",92,17,18
"Amanda/Kelivânia",93,18,17
"Amanda/Kelivânia",94,20,15
"Amanda/Kelivânia",95,18,17
"Amanda/Kelivânia",96,15,20
"Amanda/Kelivânia",97,19,16
"Amanda/Kelivânia",98,17,18
"Amanda/Kelivânia",99,21,14
"Amanda/Kelivânia",100,17,18
"Bernardo",1,19,16
"Bernardo",2,18,17
"Bernardo",3,18,17
"Bernardo",4,18,17
"Bernardo",5,17,18
"Bernardo",6,20,15
"Bernardo",7,17,18
"Bernardo",8,18,17
"Bernardo",9,19,16
"Bernardo",10,18,17
"Bernardo",11,18,17
"Bernardo",12,17,18
"Bernardo",13,19,16
"Bernardo",14,16,19
"Bernardo",15,16,19
"Bernardo",16,15,20
"Bernardo",17,18,17
"Bernardo",18,17,18
"Bernardo",19,20,15
"Bernardo",20,17,18
"Bernardo",21,15,20
"Bernardo",22,17,18
"Bernardo",23,20,15
"Bernardo",24,20,15
"Bernardo",25,18,17
"Bernardo",26,19,16
"Bernardo",27,15,20
"Bernardo",28,18,17
"Bernardo",29,14,21
"Bernardo",30,16,19
"Bernardo",31,19,16
"Bernardo",32,19,16
"Bernardo",33,18,17
"Bernardo",34,17,18
"Bernardo",35,17,18
"Bernardo",36,20,15
"Bernardo",37,18,17
"Bernardo",38,18,17
"Bernardo",39,16,19
"Bernardo",40,17,18
"Bernardo",41,19,16
"Bernardo",42,17,18
"Bernardo",43,17,18
"Bernardo",44,14,21
"Bernardo",45,15,20
"Bernardo",46,17,18
"Bernardo",47,17,18
"Bernardo",48,15,20
"Bernardo",49,20,15
"Bernardo",50,20,15
"Bernardo",51,17,18
"Bernardo",52,15,20
"Bernardo",53,18,17
"Bernardo",54,17,18
"Bernardo",55,17,18
"Bernardo",56,18,17
"Bernardo",57,18,17
"Bernardo",58,16,19
"Bernardo",59,17,18
"Bernardo",60,17,18
"Bernardo",61,18,17
"Bernardo",62,18,17
"Bernardo",63,19,16
"Bernardo",64,18,17
"Bernardo",65,20,15
"Bernardo",66,18,17
"Bernardo",67,22,13
"Bernardo",68,19,16
"Bernardo",69,15,20
"Bernardo",70,17,18
"Bernardo",71,21,14
"Bernardo",72,17,18
"Bernardo",73,17,18
"Bernardo",74,18,17
"Bernardo",75,16,19
"Bernardo",76,17,18
"Bernardo",77,19,16
"Bernardo",78,17,18
"Bernardo",79,18,17
"Bernardo",80,20,15
"Bernardo",81,17,18
"Bernardo",82,16,19
"Bernardo",83,19,16
"Bernardo",84,18,17
"Bernardo",85,17,18
"Bernardo",86,21,14
"Bernardo",87,17,18
"Bernardo",88,17,18
"Bernardo",89,18,17
"Bernardo",90,17,18
"Bernardo",91,17,18
"Bernardo",92,16,19
"Bernardo",93,16,19
"Bernardo",94,18,17
"Bernardo",95,19,16
"Bernardo",96,19,16
"Bernardo",97,19,16
"Bernardo",98,19,16
"Bernardo",99,16,19
"Bernardo",100,19,16
"Ana Camões",1,17,18
"Ana Camões",2,15,20
"Ana Camões",3,17,18
"Ana Camões",4,18,17
"Ana Camões",5,20,15
"Ana Camões",6,18,17
"Ana Camões",7,17,18
"Ana Camões",8,19,16
"Ana Camões",9,17,18
"Ana Camões",10,18,17
"Ana Camões",11,16,19
"Ana Camões",12,17,18
"Ana Camões",13,18,17
"Ana Camões",14,19,16
"Ana Camões",15,17,18
"Ana Camões",16,17,18
"Ana Camões",17,16,19
"Ana Camões",18,19,16
"Ana Camões",19,17,18
"Ana Camões",20,18,17
"Ana Camões",21,16,19
"Ana Camões",22,17,18
"Ana Camões",23,18,17
"Ana Camões",24,17,18
"Ana Camões",25,20,15
"Ana Camões",26,18,17
"Ana Camões",27,20,15
"Ana Camões",28,19,16
"Ana Camões",29,16,19
"Ana Camões",30,17,18
"Ana Camões",31,19,16
"Ana Camões",32,16,19
"Ana Camões",33,16,19
"Ana Camões",34,17,18
"Ana Camões",35,16,19
"Ana Camões",36,17,18
"Ana Camões",37,19,16
"Ana Camões",38,18,17
"Ana Camões",39,16,19
"Ana Camões",40,16,19
"Ana Camões",41,16,19
"Ana Camões",42,21,14
"Ana Camões",43,19,16
"Ana Camões",44,17,18
"Ana Camões",45,19,16
"Ana Camões",46,18,17
"Ana Camões",47,16,19
"Ana Camões",48,20,15
"Ana Camões",49,16,19
"Ana Camões",50,19,16
"Ana Camões",51,17,18
"Ana Camões",52,17,18
"Ana Camões",53,17,18
"Ana Camões",54,17,18
"Ana Camões",55,20,15
"Ana Camões",56,19,16
"Ana Camões",57,15,20
"Ana Camões",58,16,19
"Ana Camões",59,17,18
"Ana Camões",60,18,17
"Ana Camões",61,18,17
"Ana Camões",62,16,19
"Ana Camões",63,19,16
"Ana Camões",64,19,16
"Ana Camões",65,18,17
"Ana Camões",66,19,16
"Ana Camões",67,18,17
"Ana Camões",68,18,17
"Ana Camões",69,17,18
"Ana Camões",70,18,17
"Ana Camões",71,19,16
"Ana Camões",72,17,18
"Ana Camões",73,19,16
"Ana Camões",74,19,16
"Ana Camões",75,14,21
"Ana Camões",76,20,15
"Ana Camões",77,17,18
"Ana Camões",78,18,17
"Ana Camões",79,19,16
"Ana Camões",80,18,17
"Ana Camões",81,18,17
"Ana Camões",82,19,16
"Ana Camões",83,14,21
"Ana Camões",84,18,17
"Ana Camões",85,20,15
"Ana Camões",86,17,18
"Ana Camões",87,16,19
"Ana Camões",88,15,20
"Ana Camões",89,16,19
"Ana Camões",90,17,18
"Ana Camões",91,17,18
"Ana Camões",92,18,17
"Ana Camões",93,19,16
"Ana Camões",94,19,16
"Ana Camões",95,19,16
"Ana Camões",96,17,18
"Ana Camões",97,17,18
"Ana Camões",98,16,19
"Ana Camões",99,15,20
"Ana Camões",100,15,20
"Carolline/Lara",1,17,18
"Carolline/Lara",2,16,19
"Carolline/Lara",3,17,18
"Carolline/Lara",4,15,20
"Carolline/Lara",5,20,15
"Carolline/Lara",6,19,16
"Carolline/Lara",7,19,16
"Carolline/Lara",8,17,18
"Carolline/Lara",9,14,21
"Carolline/Lara",10,18,17
"Carolline/Lara",11,17,18
"Carolline/Lara",12,20,15
"Carolline/Lara",13,18,17
"Carolline/Lara",14,17,18
"Carolline/Lara",15,17,18
"Carolline/Lara",16,19,16
"Carolline/Lara",17,19,16
"Carolline/Lara",18,17,18
"Carolline/Lara",19,19,16
"Carolline/Lara",20,16,19
"Carolline/Lara",21,17,18
"Carolline/Lara",22,18,17
"Carolline/Lara",23,16,19
"Carolline/Lara",24,20,15
"Carolline/Lara",25,19,16
"Carolline/Lara",26,19,16
"Carolline/Lara",27,18,17
"Carolline/Lara",28,18,17
"Carolline/Lara",29,18,17
"Carolline/Lara",30,17,18
"Carolline/Lara",31,15,20
"Carolline/Lara",32,20,15
"Carolline/Lara",33,19,16
"Carolline/Lara",34,16,19
"Carolline/Lara",35,17,18
"Carolline/Lara",36,21,14
"Carolline/Lara",37,17,18
"Carolline/Lara",38,16,19
"Carolline/Lara",39,19,16
"Carolline/Lara",40,17,18
"Carolline/Lara",41,20,15
"Carolline/Lara",42,19,16
"Carolline/Lara",43,19,16
"Carolline/Lara",44,18,17
"Carolline/Lara",45,18,17
"Carolline/Lara",46,20,15
"Carolline/Lara",47,18,17
"Carolline/Lara",48,16,19
"Carolline/Lara",49,17,18
"Carolline/Lara",50,19,16
"Carolline/Lara",51,18,17
"Carolline/Lara",52,17,18
"Carolline/Lara",53,19,16
"Carolline/Lara",54,19,16
"Carolline/Lara",55,18,17
"Carolline/Lara",56,20,15
"Carolline/Lara",57,16,19
"Carolline/Lara",58,16,19
"Carolline/Lara",59,19,16
"Carolline/Lara",60,17,18
"Carolline/Lara",61,17,18
"Carolline/Lara",62,20,15
"Carolline/Lara",63,17,18
"Carolline/Lara",64,19,16
"Carolline/Lara",65,20,15
"Carolline/Lara",66,15,20
"Carolline/Lara",67,18,17
"Carolline/Lara",68,21,14
"Carolline/Lara",69,19,16
"Carolline/Lara",70,21,14
"Carolline/Lara",71,19,16
"Carolline/Lara",72,19,16
"Carolline/Lara",73,14,21
"Carolline/Lara",74,19,16
"Carolline/Lara",75,19,16
"Carolline/Lara",76,16,19
"Carolline/Lara",77,17,18
"Carolline/Lara",78,16,19
"Carolline/Lara",79,19,16
"Carolline/Lara",80,18,17
"Carolline/Lara",81,18,17
"Carolline/Lara",82,19,16
"Carolline/Lara",83,20,15
"Carolline/Lara",84,20,15
"Carolline/Lara",85,21,14
"Carolline/Lara",86,18,17
"Carolline/Lara",87,21,14
"Carolline/Lara",88,18,17
"Carolline/Lara",89,18,17
"Carolline/Lara",90,20,15
"Carolline/Lara",91,17,18
"Carolline/Lara",92,17,18
"Carolline/Lara",93,16,19
"Carolline/Lara",94,18,17
"Carolline/Lara",95,20,15
"Carolline/Lara",96,17,18
"Carolline/Lara",97,19,16
"Carolline/Lara",98,14,21
"Carolline/Lara",99,19,16
"Carolline/Lara",100,15,20
"Chelsea/Kelsia",1,17,18
"Chelsea/Kelsia",2,17,18
"Chelsea/Kelsia",3,19,16
"Chelsea/Kelsia",4,18,17
"Chelsea/Kelsia",5,14,21
"Chelsea/Kelsia",6,16,19
"Chelsea/Kelsia",7,16,19
"Chelsea/Kelsia",8,17,18
"Chelsea/Kelsia",9,20,15
"Chelsea/Kelsia",10,16,19
"Chelsea/Kelsia",11,17,18
"Chelsea/Kelsia",12,18,17
"Chelsea/Kelsia",13,18,17
"Chelsea/Kelsia",14,17,18
"Chelsea/Kelsia",15,16,19
"Chelsea/Kelsia",16,18,17
"Chelsea/Kelsia",17,16,19
"Chelsea/Kelsia",18,18,17
"Chelsea/Kelsia",19,17,18
"Chelsea/Kelsia",20,16,19
"Chelsea/Kelsia",21,19,16
"Chelsea/Kelsia",22,19,16
"Chelsea/Kelsia",23,17,18
"Chelsea/Kelsia",24,19,16
"Chelsea/Kelsia",25,16,19
"Chelsea/Kelsia",26,17,18
"Chelsea/Kelsia",27,15,20
"Chelsea/Kelsia",28,15,20
"Chelsea/Kelsia",29,17,18
"Chelsea/Kelsia",30,17,18
"Chelsea/Kelsia",31,19,16
"Chelsea/Kelsia",32,17,18
"Chelsea/Kelsia",33,17,18
"Chelsea/Kelsia",34,17,18
"Chelsea/Kelsia",35,16,19
"Chelsea/Kelsia",36,18,17
"Chelsea/Kelsia",37,17,18
"Chelsea/Kelsia",38,18,17
"Chelsea/Kelsia",39,20,15
"Chelsea/Kelsia",40,15,20
"Chelsea/Kelsia",41,16,19
"Chelsea/Kelsia",42,17,18
"Chelsea/Kelsia",43,14,21
"Chelsea/Kelsia",44,13,22
"Chelsea/Kelsia",45,19,16
"Chelsea/Kelsia",46,17,18
"Chelsea/Kelsia",47,16,19
"Chelsea/Kelsia",48,16,19
"Chelsea/Kelsia",49,18,17
"Chelsea/Kelsia",50,20,15
"Chelsea/Kelsia",51,18,17
"Chelsea/Kelsia",52,18,17
"Chelsea/Kelsia",53,17,18
"Chelsea/Kelsia",54,18,17
"Chelsea/Kelsia",55,17,18
"Chelsea/Kelsia",56,15,20
"Chelsea/Kelsia",57,18,17
"Chelsea/Kelsia",58,16,19
"Chelsea/Kelsia",59,18,17
"Chelsea/Kelsia",60,16,19
"Chelsea/Kelsia",61,17,18
"Chelsea/Kelsia",62,18,17
"Chelsea/Kelsia",63,17,18
"Chelsea/Kelsia",64,16,19
"Chelsea/Kelsia",65,15,20
"Chelsea/Kelsia",66,17,18
"Chelsea/Kelsia",67,16,19
"Chelsea/Kelsia",68,18,17
"Chelsea/Kelsia",69,17,18
"Chelsea/Kelsia",70,19,16
"Chelsea/Kelsia",71,17,18
"Chelsea/Kelsia",72,15,20
"Chelsea/Kelsia",73,15,20
"Chelsea/Kelsia",74,17,18
"Chelsea/Kelsia",75,17,18
"Chelsea/Kelsia",76,16,19
"Chelsea/Kelsia",77,17,18
"Chelsea/Kelsia",78,17,18
"Chelsea/Kelsia",79,17,18
"Chelsea/Kelsia",80,18,17
"Chelsea/Kelsia",81,18,17
"Chelsea/Kelsia",82,15,20
"Chelsea/Kelsia",83,16,19
"Chelsea/Kelsia",84,17,18
"Chelsea/Kelsia",85,18,17
"Chelsea/Kelsia",86,18,17
"Chelsea/Kelsia",87,17,18
"Chelsea/Kelsia",88,16,19
"Chelsea/Kelsia",89,20,15
"Chelsea/Kelsia",90,20,15
"Chelsea/Kelsia",91,19,16
"Chelsea/Kelsia",92,19,16
"Chelsea/Kelsia",93,15,20
"Chelsea/Kelsia",94,16,19
"Chelsea/Kelsia",95,18,17
"Chelsea/Kelsia",96,21,14
"Chelsea/Kelsia",97,20,15
"Chelsea/Kelsia",98,20,15
"Chelsea/Kelsia",99,17,18
"Chelsea/Kelsia",100,16,19
"Elisa/Daniel",1,20,15
"Elisa/Daniel",2,18,17
"Elisa/Daniel",3,18,17
"Elisa/Daniel",4,19,16
"Elisa/Daniel",5,17,18
"Elisa/Daniel",6,16,19
"Elisa/Daniel",7,17,18
"Elisa/Daniel",8,16,19
"Elisa/Daniel",9,17,18
"Elisa/Daniel",10,20,15
"Elisa/Daniel",11,16,19
"Elisa/Daniel",12,16,19
"Elisa/Daniel",13,16,19
"Elisa/Daniel",14,19,16
"Elisa/Daniel",15,19,16
"Elisa/Daniel",16,18,17
"Elisa/Daniel",17,18,17
"Elisa/Daniel",18,17,18
"Elisa/Daniel",19,16,19
"Elisa/Daniel",20,19,16
"Elisa/Daniel",21,18,17
"Elisa/Daniel",22,19,16
"Elisa/Daniel",23,19,16
"Elisa/Daniel",24,18,17
"Elisa/Daniel",25,20,15
"Elisa/Daniel",26,17,18
"Elisa/Daniel",27,17,18
"Elisa/Daniel",28,17,18
"Elisa/Daniel",29,18,17
"Elisa/Daniel",30,18,17
"Elisa/Daniel",31,16,19
"Elisa/Daniel",32,16,19
"Elisa/Daniel",33,18,17
"Elisa/Daniel",34,18,17
"Elisa/Daniel",35,16,19
"Elisa/Daniel",36,18,17
"Elisa/Daniel",37,19,16
"Elisa/Daniel",38,18,17
"Elisa/Daniel",39,19,16
"Elisa/Daniel",40,16,19
"Elisa/Daniel",41,17,18
"Elisa/Daniel",42,16,19
"Elisa/Daniel",43,17,18
"Elisa/Daniel",44,16,19
"Elisa/Daniel",45,15,20
"Elisa/Daniel",46,20,15
"Elisa/Daniel",47,16,19
"Elisa/Daniel",48,16,19
"Elisa/Daniel",49,18,17
"Elisa/Daniel",50,18,17
"Elisa/Daniel",51,16,19
"Elisa/Daniel",52,15,20
"Elisa/Daniel",53,19,16
"Elisa/Daniel",54,19,16
"Elisa/Daniel",55,18,17
"Elisa/Daniel",56,20,15
"Elisa/Daniel",57,16,19
"Elisa/Daniel",58,17,18
"Elisa/Daniel",59,17,18
"Elisa/Daniel",60,17,18
"Elisa/Daniel",61,19,16
"Elisa/Daniel",62,16,19
"Elisa/Daniel",63,20,15
"Elisa/Daniel",64,18,17
"Elisa/Daniel",65,17,18
"Elisa/Daniel",66,16,19
"Elisa/Daniel",67,19,16
"Elisa/Daniel",68,18,17
"Elisa/Daniel",69,17,18
"Elisa/Daniel",70,17,18
"Elisa/Daniel",71,17,18
"Elisa/Daniel",72,18,17
"Elisa/Daniel",73,18,17
"Elisa/Daniel",74,15,20
"Elisa/Daniel",75,18,17
"Elisa/Daniel",76,17,18
"Elisa/Daniel",77,20,15
"Elisa/Daniel",78,18,17
"Elisa/Daniel",79,20,15
"Elisa/Daniel",80,20,15
"Elisa/Daniel",81,17,18
"Elisa/Daniel",82,19,16
"Elisa/Daniel",83,17,18
"Elisa/Daniel",84,20,15
"Elisa/Daniel",85,17,18
"Elisa/Daniel",86,16,19
"Elisa/Daniel",87,15,20
"Elisa/Daniel",88,17,18
"Elisa/Daniel",89,18,17
"Elisa/Daniel",90,15,20
"Elisa/Daniel",91,18,17
"Elisa/Daniel",92,17,18
"Elisa/Daniel",93,16,19
"Elisa/Daniel",94,15,20
"Elisa/Daniel",95,19,16
"Elisa/Daniel",96,18,17
"Elisa/Daniel",97,17,18
"Elisa/Daniel",98,17,18
"Elisa/Daniel",99,17,18
"Elisa/Daniel",100,18,17
"Elvis/Wesley",1,21,14
"Elvis/Wesley",2,17,18
"Elvis/Wesley",3,3,32
"Elvis/Wesley",4,26,9
"Elvis/Wesley",5,22,13
"Elvis/Wesley",6,13,22
"Elvis/Wesley",7,2,33
"Elvis/Wesley",8,12,23
"Elvis/Wesley",9,17,18
